user_id,city,city_tier,signup_date,account_age_days,subscription_type,retained_30_days,avg_daily_listening_hours,skip_rate_pct,playlist_adds_last_30d,search_queries_last_30d
20436,Chennai,Tier 1,2025-12-16,188.0,Premium,1,1.0,14.07,3.0,14.0
21759,Chennai,Tier 1,2024-10-14,617.0,Premium,1,1.71,24.88,2.0,9.0
2216,Mumbai,Tier 1,2026-05-17,41.0,Free,1,0.72,21.19,3.0,14.0
20387,Bhopal,Tier 2,2026-03-22,92.0,Family,1,1.44,23.96,6.0,8.0
8754,Indore,Tier 2,2025-11-27,209.0,Family,1,0.61,31.9,4.0,17.0
18874,Pune,Tier 1,2025-04-24,426.0,Family,1,2.53,34.27,4.0,17.0
49501,Hyderabad,Tier 1,2025-04-12,440.0,Premium,1,1.61,18.52,6.0,15.0
36490,Bhopal,Tier 2,2025-11-24,214.0,Free,1,1.61,15.71,4.0,17.0
29426,Mumbai,Tier 1,2025-07-12,344.0,Family,1,2.17,15.3,4.0,6.0
12805,Kolkata,Tier 1,2024-01-04,900.0,Premium,0,2.82,89.79,0.0,4.0
39069,Jaipur,Tier 2,2025-10-13,254.0,Premium,1,1.6,13.3,4.0,10.0
18433,Pune,Tier 1,2026-02-24,123.0,Free,1,0.62,4.33,4.0,17.0
34235,Delhi,Tier 1,2025-04-07,445.0,Free,0,0.91,28.02,5.0,17.0
22916,Mumbai,Tier 1,2025-11-20,218.0,Family,1,1.61,20.57,3.0,8.0
48079,Surat,Tier 2,2025-10-31,237.0,Premium,1,1.01,26.95,4.0,13.0
23282,Hyderabad,Tier 1,2025-02-03,508.0,Free,1,2.04,14.18,4.0,12.0
30307,Kochi,Tier 2,2025-12-12,980.0,Free,1,0.87,17.86,4.0,10.0
43790,Delhi,Tier 1,2024-12-26,542.0,Free,1,1.92,31.66,5.0,15.0
8934,Bhopal,Tier 2,2024-04-03,813.0,Family,1,1.2,21.38,5.0,12.0
9245,Bengaluru,Tier 1,2025-09-04,290.0,Free,0,0.54,9.54,0.0,25.0
33699,Delhi,Tier 1,2024-03-13,832.0,Premium,1,2.31,20.02,3.0,15.0
43814,Pune,Tier 1,2025-06-15,372.0,Family,1,2.55,13.2,1.0,17.0
37827,Pune,Tier 1,2025-08-02,323.0,Free,1,1.15,5.93,10.0,15.0
31961,Patna,Tier 2,2026-05-12,42.0,Free,1,2.75,23.16,3.0,16.0
34480,Delhi,Tier 1,2025-06-29,360.0,Family,1,1.29,23.16,7.0,12.0
13687,Chennai,Tier 1,2025-08-30,350.0,Free,1,0.65,22.38,1.0,17.0
34607,Bengaluru,Tier 1,2025-08-08,322.0,Premium,1,1.95,31.91,4.0,120.0
7047,Hyderabad,Tier 1,2021-11-01,1694.0,Premium,0,6.56,79.88,0.0,1.0
28447,Mumbai,Tier 1,2025-12-10,199.0,Free,1,1.73,20.46,2.0,11.0
41102,Nagpur,Tier 2,2025-06-28,364.0,Family,0,1.1,24.65,4.0,20.0
33162,Hyderabad,Tier 1,2025-04-21,427.0,Family,0,0.92,21.72,7.0,13.0
16947,Kochi,Tier 2,2026-02-19,122.0,Premium,1,2.73,28.04,6.0,26.0
44205,Delhi,Tier 1,2026-05-03,55.0,Free,1,1.13,11.68,3.0,12.0
39906,Delhi,Tier 1,2025-11-30,205.0,Premium,1,1.03,42.69,3.0,9.0
7091,Chennai,Tier 1,2026-03-28,85.0,Free,1,1.49,4.22,3.0,10.0
16294,Ahmedabad,Tier 1,2025-10-28,241.0,Free,1,0.9,23.16,4.0,15.0
30707,Hyderabad,Tier 1,2025-01-27,514.0,Free,1,1.78,33.51,1.0,16.0
49467,Delhi,Tier 1,2026-01-17,157.0,Premium,1,0.56,23.16,4.0,13.0
28842,Chennai,Tier 1,2024-05-20,765.0,Free,1,1.28,13.18,5.0,17.0
43437,Delhi,Tier 1,2023-06-04,1117.0,Free,1,1.46,20.69,1.0,17.0
6212,Lucknow,Tier 2,2026-06-18,7.0,Premium,1,0.43,4.21,5.0,12.0
21568,Jaipur,Tier 2,2025-01-26,517.0,Premium,1,2.37,23.16,6.0,23.0
14067,Bhopal,Tier 2,2026-03-09,107.0,Premium,1,1.47,13.54,5.0,13.0
19262,Pune,Tier 1,2026-03-18,96.0,Family,1,3.04,23.1,1.0,17.0
27076,Delhi,Tier 1,2025-02-21,485.0,Free,1,1.55,17.81,4.0,8.0
49063,Pune,Tier 1,2024-04-03,810.0,Premium,0,6.72,89.29,0.0,2.0
18257,Chennai,Tier 1,2025-10-23,247.0,Free,1,1.9,29.61,1.0,21.0
19721,Chennai,Tier 1,2025-07-28,333.0,Premium,1,2.45,17.39,1.0,13.0
27686,Surat,Tier 2,2025-11-30,207.0,Free,1,4.72,32.28,2.0,16.0
9504,Delhi,Tier 1,2025-02-03,503.0,Premium,1,1.27,24.11,5.0,15.0
32038,Delhi,Tier 1,2025-09-19,278.0,Free,1,0.33,28.02,1.0,10.0
9920,Chandigarh,Tier 2,2025-09-18,276.0,Free,1,1.92,23.67,3.0,17.0
46660,Bengaluru,Tier 1,2025-07-25,336.0,Free,1,1.4,25.08,5.0,12.0
30158,Mumbai,Tier 1,2025-01-06,533.0,Premium,1,1.12,23.33,5.0,19.0
14022,Delhi,Tier 1,2023-09-14,1011.0,Free,1,1.36,28.56,1.0,14.0
14591,Kochi,Tier 2,2025-08-21,309.0,Free,1,1.49,19.72,4.0,13.0
6084,Mumbai,Tier 1,2025-03-14,467.0,Free,1,0.2,29.43,1.0,14.0
32898,Bengaluru,Tier 1,2024-11-20,582.0,Free,1,1.64,29.01,2.0,16.0
33691,Chennai,Tier 1,2025-10-24,243.0,Family,1,0.68,47.33,4.0,16.0
17267,Mumbai,Tier 1,2025-09-12,288.0,Premium,1,1.47,32.61,1.0,10.0
40399,Patna,Tier 2,2024-11-18,581.0,Premium,0,1.61,21.4,4.0,17.0
49806,Chandigarh,Tier 2,2025-09-06,294.0,Free,1,2.25,20.46,3.0,13.0
11727,Chennai,Tier 1,2026-01-28,150.0,Premium,1,0.69,98.95,0.0,16.0
43267,Kochi,Tier 2,2026-02-21,125.0,Family,1,1.61,13.32,2.0,14.0
40330,Bengaluru,Tier 1,2025-08-14,314.0,Premium,0,4.0,99.31,0.0,4.0
49162,Lucknow,Tier 2,2022-03-03,1573.0,Premium,0,5.39,85.89,0.0,3.0
11888,Mumbai,Tier 1,2025-12-18,190.0,Family,1,2.7,17.32,3.0,19.0
34914,Surat,Tier 2,2024-04-15,800.0,Premium,0,5.52,86.21,3.0,6.0
30068,Nagpur,Tier 2,2025-07-24,332.0,Family,1,0.81,21.91,6.0,13.0
44902,Bengaluru,Tier 1,2023-11-04,961.0,Premium,0,1.13,32.54,2.0,12.0
25454,Delhi,Tier 1,2026-03-30,350.0,Free,1,1.61,18.82,4.0,16.0
24902,Mumbai,Tier 1,2024-04-05,813.0,Premium,1,0.56,18.98,1.0,16.0
16899,Coimbatore,Tier 2,2024-11-10,350.0,Premium,1,2.11,20.79,5.0,13.0
24527,Delhi,Tier 1,2023-10-06,990.0,Premium,0,3.69,81.54,0.0,4.0
26017,Bengaluru,Tier 1,2026-01-04,169.0,Premium,1,1.15,21.7,4.0,15.0
24642,Chandigarh,Tier 2,2024-09-16,645.0,Premium,0,1.47,15.37,3.0,13.0
3092,Kochi,Tier 2,2024-01-13,350.0,Family,1,1.24,23.16,3.0,17.0
5868,Jaipur,Tier 2,2024-09-15,649.0,Premium,0,6.36,71.46,0.0,0.0
31842,Mumbai,Tier 1,2025-06-01,388.0,Family,1,2.21,29.16,2.0,16.0
30917,Bengaluru,Tier 1,2025-07-20,339.0,Free,1,2.2,30.36,6.0,14.0
11866,Pune,Tier 1,2024-06-04,752.0,Free,0,1.17,29.02,5.0,12.0
28275,Jaipur,Tier 2,2025-04-22,2125.0,Free,0,1.47,23.47,1.0,10.0
35233,Bengaluru,Tier 1,2025-07-21,339.0,Free,1,0.49,17.85,5.0,15.0
3839,Surat,Tier 2,2025-09-05,294.0,Premium,0,2.06,11.43,3.0,17.0
17991,Mumbai,Tier 1,2025-12-07,350.0,Premium,0,5.17,23.16,3.0,6.0
25336,Surat,Tier 2,2025-09-26,269.0,Free,1,2.58,27.98,1.0,15.0
17795,Jaipur,Tier 2,2025-05-01,422.0,Free,1,1.57,22.93,4.0,13.0
31522,Bengaluru,Tier 1,2025-10-10,256.0,Free,1,1.61,26.11,2.0,16.0
4225,Delhi,Tier 1,2025-07-19,341.0,Free,1,1.6,6.22,4.0,14.0
17398,Nagpur,Tier 2,2026-03-25,94.0,Free,0,2.71,16.1,2.0,9.0
30006,Hyderabad,Tier 1,2023-06-01,1117.0,Premium,0,5.37,92.51,0.0,5.0
43505,Hyderabad,Tier 1,2025-07-24,334.0,Free,1,1.39,22.71,0.0,9.0
36156,Mumbai,Tier 1,2025-05-23,395.0,Free,1,0.42,23.16,3.0,17.0
9246,Kolkata,Tier 1,2025-11-24,210.0,Premium,1,1.61,25.26,1.0,14.0
1620,Mumbai,Tier 1,2022-09-29,1366.0,Premium,0,3.39,94.67,3.0,7.0
36,Delhi,Tier 1,2025-04-09,444.0,Premium,1,4.15,9.55,2.0,28.0
5394,Chennai,Tier 1,2022-10-28,1333.0,Premium,1,0.53,27.2,7.0,15.0
23687,Bhopal,Tier 2,2025-06-07,380.0,Free,1,0.74,29.86,2.0,12.0
41799,Bengaluru,Tier 1,2026-05-04,52.0,Free,1,0.44,25.21,3.0,20.0
3320,Bengaluru,Tier 1,2025-08-07,324.0,Family,1,1.12,8.22,3.0,12.0
37374,Chandigarh,Tier 2,2025-09-01,299.0,Free,0,0.66,22.78,4.0,11.0
5956,Ahmedabad,Tier 1,2025-04-18,430.0,Free,1,0.81,32.89,1.0,13.0
21100,Ahmedabad,Tier 1,2026-01-25,151.0,Free,1,1.08,13.01,2.0,15.0
34360,Delhi,Tier 1,2025-10-21,248.0,Free,1,1.61,19.65,3.0,21.0
1134,Lucknow,Tier 2,2022-02-18,1587.0,Premium,0,4.26,80.11,0.0,3.0
33223,Mumbai,Tier 1,2024-12-30,544.0,Free,1,1.53,17.19,1.0,19.0
32993,Lucknow,Tier 2,2025-06-13,376.0,Free,1,1.17,3.48,1.0,13.0
5330,Bengaluru,Tier 1,2024-03-13,835.0,Premium,0,2.61,75.7,0.0,1.0
17576,Pune,Tier 1,2025-09-11,286.0,Premium,1,2.44,25.37,6.0,13.0
46286,Delhi,Tier 1,2024-03-27,819.0,Free,1,1.5,32.24,1.0,14.0
36038,Kochi,Tier 2,2025-03-31,453.0,Free,1,1.45,33.9,3.0,22.0
15613,Chennai,Tier 1,2025-06-05,385.0,Family,1,1.83,28.44,4.0,19.0
43637,Jaipur,Tier 2,2025-11-15,219.0,Premium,1,1.42,4.7,4.0,14.0
34752,Nagpur,Tier 2,2024-09-17,642.0,Premium,1,1.18,17.05,1.0,15.0
7205,Kolkata,Tier 1,2025-02-17,489.0,Premium,0,2.0,92.04,0.0,2.0
32170,Hyderabad,Tier 1,2025-06-19,369.0,Free,1,0.8,20.62,5.0,13.0
40743,Kolkata,Tier 1,2026-03-26,87.0,Premium,1,0.73,18.35,3.0,14.0
26134,Lucknow,Tier 2,2025-05-16,406.0,Free,1,0.63,15.42,7.0,13.0
12288,Surat,Tier 2,2024-07-31,692.0,Free,1,0.87,21.83,0.0,16.0
366,Hyderabad,Tier 1,2025-12-31,175.0,Free,1,2.62,23.97,4.0,6.0
14979,Chandigarh,Tier 2,2025-09-22,272.0,Free,1,0.88,23.16,3.0,10.0
12617,Pune,Tier 1,2025-12-29,176.0,Premium,1,0.73,34.83,5.0,10.0
36996,Delhi,Tier 1,2023-10-03,998.0,Premium,1,0.86,32.24,4.0,11.0
10329,Bengaluru,Tier 1,2025-02-12,497.0,Free,1,0.97,20.35,7.0,7.0
36239,Delhi,Tier 1,2025-12-01,206.0,Premium,1,1.22,20.61,4.0,15.0
46146,Patna,Tier 2,2025-08-19,310.0,Family,1,0.91,17.78,1.0,9.0
34222,Hyderabad,Tier 1,2025-08-11,320.0,Premium,0,1.36,24.56,3.0,13.0
31159,Hyderabad,Tier 1,2026-02-22,123.0,Family,1,1.65,20.64,4.0,11.0
40236,Patna,Tier 2,2025-09-20,276.0,Premium,1,1.42,28.62,5.0,16.0
7954,Mumbai,Tier 1,2025-09-23,272.0,Premium,1,1.14,23.16,5.0,11.0
23241,Coimbatore,Tier 2,2025-07-24,334.0,Free,0,0.52,25.16,5.0,8.0
31213,Indore,Tier 2,2024-10-22,607.0,Family,1,1.61,34.05,3.0,10.0
11420,Coimbatore,Tier 2,2025-06-28,364.0,Free,1,3.38,14.99,1.0,14.0
14613,Bengaluru,Tier 1,2025-04-20,433.0,Free,1,2.84,23.68,0.0,18.0
17516,Bengaluru,Tier 1,2024-12-20,549.0,Family,1,0.54,31.62,3.0,14.0
28820,Patna,Tier 2,2025-12-11,194.0,Premium,1,2.38,32.09,2.0,11.0
38759,Surat,Tier 2,2025-12-02,202.0,Free,1,1.0,30.18,5.0,14.0
13347,Indore,Tier 2,2025-11-06,229.0,Family,1,3.5,15.47,4.0,290.0
16643,Chennai,Tier 1,2025-09-27,267.0,Free,1,2.02,27.26,2.0,11.0
35947,Mumbai,Tier 1,2025-08-18,308.0,Free,1,0.91,19.66,2.0,12.0
31774,Chennai,Tier 1,2025-05-18,403.0,Premium,1,0.39,22.08,1.0,130.0
23454,Surat,Tier 2,2025-12-04,205.0,Family,1,2.02,17.82,3.0,10.0
12489,Chandigarh,Tier 2,2025-04-15,435.0,Family,1,0.6,12.25,3.0,19.0
24661,Bengaluru,Tier 1,2025-06-15,375.0,Free,1,1.61,12.84,0.0,14.0
48892,Chennai,Tier 1,2025-08-27,303.0,Premium,1,1.14,22.0,2.0,12.0
5327,Kolkata,Tier 1,2025-08-30,298.0,Free,1,0.6,30.09,4.0,11.0
24859,Kolkata,Tier 1,2026-05-07,50.0,Premium,1,1.77,34.03,1.0,12.0
48990,Bhopal,Tier 2,2026-02-06,138.0,Free,1,1.93,27.8,3.0,16.0
17509,Surat,Tier 2,2026-06-09,18.0,Premium,0,1.55,35.29,3.0,13.0
22126,Delhi,Tier 1,2025-04-10,441.0,Free,1,0.41,27.35,7.0,17.0
7862,Mumbai,Tier 1,2019-01-04,2728.0,Premium,0,2.26,64.29,0.0,1.0
32063,Jaipur,Tier 2,2025-11-15,223.0,Free,1,1.1,30.3,3.0,3.0
5277,Pune,Tier 1,2025-03-11,467.0,Family,0,2.57,18.44,6.0,15.0
15361,Nagpur,Tier 2,2025-04-25,426.0,Premium,1,1.65,16.38,6.0,8.0
42173,Pune,Tier 1,2024-05-22,766.0,Premium,1,0.61,22.2,2.0,15.0
20123,Bhopal,Tier 2,2025-05-22,401.0,Premium,1,1.18,17.43,1.0,20.0
12969,Mumbai,Tier 1,2022-07-23,1433.0,Premium,0,3.73,74.82,0.0,3.0
33499,Jaipur,Tier 2,2024-06-27,730.0,Premium,0,8.47,84.89,0.0,4.0
45362,Pune,Tier 1,2026-02-21,120.0,Premium,1,1.82,30.19,2.0,13.0
779,Surat,Tier 2,2026-03-14,102.0,Free,0,0.94,20.21,0.0,17.0
22380,Kolkata,Tier 1,2023-05-13,1135.0,Premium,0,8.66,98.52,0.0,3.0
6289,Bengaluru,Tier 1,2025-10-22,246.0,Premium,1,1.68,22.89,1.0,10.0
22800,Hyderabad,Tier 1,2023-12-04,936.0,Free,1,1.55,22.34,4.0,18.0
26300,Mumbai,Tier 1,2025-09-30,264.0,Premium,1,2.14,15.3,2.0,10.0
422,Mumbai,Tier 1,2023-07-11,1080.0,Free,1,0.68,43.97,1.0,14.0
17436,Indore,Tier 2,2025-10-07,260.0,Premium,0,3.15,16.43,3.0,9.0
46076,Hyderabad,Tier 1,2025-09-01,294.0,Premium,1,0.89,32.33,6.0,15.0
47729,Surat,Tier 2,2023-04-06,1174.0,Premium,0,8.21,23.16,0.0,0.0
16183,Chennai,Tier 1,2025-07-08,350.0,Premium,1,1.16,31.86,1.0,13.0
16553,Lucknow,Tier 2,2026-03-02,114.0,Premium,0,1.04,17.78,3.0,21.0
31179,Patna,Tier 2,2026-01-11,165.0,Premium,1,3.01,15.6,3.0,11.0
2794,Patna,Tier 2,2026-03-22,91.0,Free,1,0.83,23.16,1.0,16.0
11510,Bengaluru,Tier 1,2026-01-14,163.0,Free,1,1.6,25.14,3.0,14.0
18120,Jaipur,Tier 2,2026-04-16,68.0,Free,1,2.27,23.16,4.0,180.0
14767,Mumbai,Tier 1,2026-01-17,156.0,Premium,1,1.67,14.63,5.0,20.0
1821,Kochi,Tier 2,2026-01-31,350.0,Free,1,0.83,27.4,2.0,60.0
15927,Indore,Tier 2,2025-07-05,357.0,Free,1,1.2,28.06,5.0,20.0
31480,Ahmedabad,Tier 1,2025-12-26,177.0,Free,0,2.0,23.16,6.0,14.0
42213,Lucknow,Tier 2,2025-01-17,526.0,Family,1,0.58,6.0,3.0,16.0
31474,Nagpur,Tier 2,2025-11-26,207.0,Free,1,2.52,27.66,3.0,16.0
22868,Kolkata,Tier 1,2025-05-12,410.0,Free,1,0.99,24.94,3.0,10.0
28558,Chennai,Tier 1,2025-03-04,350.0,Free,1,1.48,24.31,6.0,21.0
15499,Bengaluru,Tier 1,2025-10-19,248.0,Free,1,1.82,20.98,6.0,19.0
27872,Kolkata,Tier 1,2026-03-15,103.0,Free,0,0.9,16.91,4.0,15.0
46786,Mumbai,Tier 1,2025-03-20,461.0,Free,0,2.57,18.77,5.0,21.0
1030,Hyderabad,Tier 1,2023-06-16,1102.0,Premium,1,2.68,29.44,4.0,11.0
48807,Nagpur,Tier 2,2025-03-03,476.0,Free,1,1.73,16.97,6.0,13.0
39335,Bengaluru,Tier 1,2025-07-20,341.0,Premium,1,2.67,18.21,3.0,19.0
136,Mumbai,Tier 1,2025-03-19,462.0,Premium,1,0.91,26.98,3.0,8.0
45327,Mumbai,Tier 1,2024-08-05,690.0,Free,1,1.21,23.16,2.0,16.0
34781,Jaipur,Tier 2,2026-02-11,133.0,Free,1,0.86,28.23,3.0,14.0
21743,Mumbai,Tier 1,2025-10-29,237.0,Premium,1,1.55,22.4,3.0,14.0
1177,Chennai,Tier 1,2022-08-25,1400.0,Premium,0,6.27,90.4,0.0,4.0
29718,Hyderabad,Tier 1,2025-02-19,491.0,Premium,0,1.56,66.94,0.0,1.0
23486,Pune,Tier 1,2025-10-22,247.0,Free,1,1.61,3.84,3.0,24.0
13418,Hyderabad,Tier 1,2026-02-22,123.0,Premium,1,2.39,11.12,5.0,11.0
5460,Mumbai,Tier 1,2026-01-11,165.0,Premium,1,3.59,23.16,5.0,14.0
17993,Ahmedabad,Tier 1,2024-03-23,825.0,Free,1,0.88,19.54,2.0,10.0
6607,Nagpur,Tier 2,2026-01-17,156.0,Family,1,1.61,27.66,7.0,21.0
29380,Bengaluru,Tier 1,2025-11-06,229.0,Free,1,1.06,23.16,3.0,17.0
23046,Kochi,Tier 2,2024-02-12,862.0,Premium,0,1.75,72.02,0.0,2.0
23416,Delhi,Tier 1,2024-06-19,734.0,Free,1,3.18,21.4,7.0,18.0
38706,Mumbai,Tier 1,2025-09-15,279.0,Free,1,2.26,31.875,4.0,21.0
9581,Jaipur,Tier 2,2025-06-02,388.0,Premium,1,0.92,20.87,3.0,10.0
36550,Kolkata,Tier 1,2025-12-07,201.0,Family,1,0.86,29.3,5.0,18.0
42350,Mumbai,Tier 1,2025-10-07,262.0,Family,1,2.81,28.79,2.0,20.0
27068,Indore,Tier 2,2025-10-29,241.0,Premium,1,2.21,27.75,1.0,16.0
41198,Jaipur,Tier 2,2026-01-16,350.0,Free,1,2.1,19.73,4.0,10.0
37902,Nagpur,Tier 2,2026-02-11,132.0,Free,1,1.57,15.89,1.0,22.0
11141,Bengaluru,Tier 1,2024-05-23,761.0,Premium,0,0.61,24.38,6.0,11.0
485,Mumbai,Tier 1,2025-04-08,441.0,Free,1,1.6,19.51,3.0,7.0
39362,Delhi,Tier 1,2026-01-13,165.0,Premium,1,1.99,21.81,4.0,14.0
13221,Pune,Tier 1,2026-04-10,74.0,Premium,1,0.51,34.53,2.0,9.0
7009,Mumbai,Tier 1,2025-06-28,362.0,Free,1,1.33,25.96,2.0,14.0
37350,Delhi,Tier 1,2025-10-20,246.0,Premium,1,1.86,30.45,1.0,17.0
16105,Kolkata,Tier 1,2024-10-02,632.0,Free,1,2.46,15.41,3.0,20.0
14170,Surat,Tier 2,2025-02-19,490.0,Free,1,2.15,27.26,4.0,13.0
4952,Lucknow,Tier 2,2025-05-19,403.0,Family,1,2.25,14.07,0.0,12.0
39005,Ahmedabad,Tier 1,2025-08-07,322.0,Premium,1,3.03,10.53,4.0,15.0
27415,Coimbatore,Tier 2,2025-11-22,214.0,Free,1,1.66,23.22,2.0,19.0
16371,Bengaluru,Tier 1,2025-09-03,296.0,Free,1,1.48,31.4,5.0,13.0
13840,Chennai,Tier 1,2025-02-18,489.0,Free,1,0.86,31.93,3.0,19.0
33540,Mumbai,Tier 1,2025-11-13,350.0,Free,1,1.11,24.23,4.0,24.0
23655,Ahmedabad,Tier 1,2024-09-22,637.0,Family,1,2.13,18.68,2.0,10.0
31914,Jaipur,Tier 2,2025-07-03,350.0,Family,1,1.07,24.41,0.0,11.0
48518,Nagpur,Tier 2,2025-05-27,396.0,Premium,1,1.88,22.32,4.0,20.0
3366,Bengaluru,Tier 1,2025-01-28,515.0,Premium,1,1.79,18.98,6.0,11.0
38883,Mumbai,Tier 1,2026-02-08,138.0,Free,1,2.57,11.66,0.0,23.0
7244,Indore,Tier 2,2026-02-21,120.0,Free,1,0.95,22.19,1.0,11.0
48226,Bhopal,Tier 2,2025-02-27,481.0,Premium,1,0.77,15.39,2.0,14.0
42321,Delhi,Tier 1,2024-10-10,619.0,Premium,0,5.0,74.05,0.0,7.0
26922,Pune,Tier 1,2024-05-30,752.0,Free,1,2.52,22.95,2.0,15.0
8911,Bengaluru,Tier 1,2025-02-04,504.0,Free,1,5.61,19.34,4.0,15.0
4476,Ahmedabad,Tier 1,2026-03-29,84.0,Free,1,2.4,29.93,3.0,10.0
14318,Jaipur,Tier 2,2026-01-07,168.0,Premium,0,6.86,90.24,0.0,6.0
13077,Chennai,Tier 1,2025-01-18,524.0,Family,1,2.45,22.64,5.0,11.0
1942,Chennai,Tier 1,2025-10-05,263.0,Premium,1,0.75,16.98,4.0,23.0
34837,Kolkata,Tier 1,2025-12-15,193.0,Free,0,1.01,0.0,2.0,18.0
26485,Delhi,Tier 1,2024-01-24,883.0,Free,1,3.94,25.25,3.0,12.0
30898,Bengaluru,Tier 1,2024-07-27,699.0,Premium,0,7.72,70.21,0.0,8.0
35747,Pune,Tier 1,2025-06-13,350.0,Premium,1,0.19,22.32,6.0,15.0
13343,Mumbai,Tier 1,2026-01-24,153.0,Free,0,1.49,17.79,3.0,140.0
4742,Delhi,Tier 1,2026-03-31,86.0,Free,1,1.82,27.0,2.0,14.0
17395,Pune,Tier 1,2025-06-10,381.0,Premium,1,0.22,14.98,2.0,18.0
24026,Hyderabad,Tier 1,2025-03-24,459.0,Free,1,2.09,30.39,4.0,13.0
2258,Surat,Tier 2,2026-04-17,67.0,Free,1,0.79,28.61,4.0,17.0
31967,Jaipur,Tier 2,2026-02-27,120.0,Premium,1,2.48,37.19,3.0,11.0
49537,Pune,Tier 1,2024-10-14,619.0,Premium,0,6.72,67.97,0.0,1.0
