user_id,avg_daily_listening_hours,skip_rate_pct
186,2.664,54.15
187,2.511,12.86
188,2.435,24.57
189,1.665,8.89
190,1.414,11.45
191,1.54,22.73
192,0.239,43.99
193,1.882,30.05
194,4.982,8.0
195,1.715,11.73
196,0.871,29.2
197,1.245,2.67
198,3.4,54.08
199,1.819,40.69
200,3.753,72.88
201,2.601,35.95
202,1.485,19.48
203,0.988,37.44
204,1.541,45.64
205,7.898,3.22
206,1.074,15.17
207,1.244,33.92
208,2.068,29.05
209,3.03,34.63
210,1.167,50.23
211,1.556,11.84
212,,22.55
213,1.723,28.88
214,1.712,18.05
215,0.788,15.89
216,0.192,34.61
217,4.03,15.49
218,2.619,10.99
219,4.454,
220,2.317,14.67
221,2.431,
222,,51.69
223,3.364,24.06
224,0.243,17.69
225,0.276,
226,4.72,13.72
227,1.407,12.57
228,2.747,
229,0.639,21.42
230,2.331,25.31
231,9.167,39.72
232,0.916,42.8
233,2.012,16.37
234,1.854,25.18
235,5.841,26.69
236,8.228,20.13
237,4.088,22.69
238,0.765,18.07
239,49.197,31.02
240,2.576,34.5
241,1.853,18.21
242,1.887,41.5
243,1.713,11.3
244,2.482,35.01
245,0.368,61.89
246,1.709,62.44
247,1.302,24.01
248,0.717,
249,0.711,41.79
250,2.293,13.24
251,8.616,42.4
252,2.724,1.78
253,0.915,19.78
254,1.843,13.77
255,0.58,6.45
256,4.192,38.54
257,0.608,22.24
258,6.437,19.71
259,1.962,45.9
260,4.909,6.94
261,1.328,17.29
262,0.739,31.82
263,1.624,21.27
264,1.731,54.08
265,2.12,30.28
266,1.83,14.78
267,0.266,
268,1.526,5.75
269,1.882,32.98
270,4.875,8.95
271,4.242,10.67
272,2.834,42.98
273,0.466,37.71
274,1.15,100.0
275,1.202,32.57
276,2.112,27.31
277,0.461,48.82
278,0.721,5.83
279,1.884,27.52
280,4.351,3.25
281,2.101,29.58
282,1.095,45.97
283,9.894,26.22
284,,3.95
285,0.544,30.39
286,1.1,40.89
287,1.534,42.65
288,1.996,25.8
289,1.734,14.65
290,1.854,27.12
291,3.265,15.18
292,1.568,31.94
293,0.62,5.42
294,0.795,39.92
295,6.939,49.15
296,0.328,35.59
297,2.058,48.01
298,2.733,15.74
299,1.845,16.8
300,3.091,31.14
301,0.654,5.75
302,0.513,17.74
303,0.923,25.16
304,5.756,49.87
305,0.164,8.48
306,3.932,45.66
307,1.814,12.46
308,5.004,56.83
309,1.754,33.83
310,2.084,31.03
311,3.25,17.83
312,,16.31
313,2.478,30.12
314,0.532,32.35
315,1.459,39.83
316,1.845,24.18
317,5.006,16.17
318,2.639,39.88
319,5.145,48.31
320,1.713,47.43
321,1.445,11.31
322,2.568,35.3
323,3.275,50.47
324,6.228,76.7
325,3.132,55.2
326,2.468,17.87
327,65.46,23.21
328,0.312,39.56
329,0.237,13.57
330,12.141,19.58
331,0.945,25.42
332,0.518,23.28
333,,29.87
334,4.258,34.97
335,1.771,29.6
336,7.511,7.52
337,2.006,30.27
338,,49.43
339,1.617,31.22
340,0.832,26.87
341,2.134,17.66
342,5.282,55.8
343,2.763,20.07
344,1.773,54.42
345,7.792,26.38
346,1.121,6.1
347,3.563,35.97
348,3.104,46.87
349,0.425,
350,2.927,5.43
351,1.69,34.8
352,4.591,19.53
353,1.916,34.65
354,4.604,10.58
355,3.621,43.11
356,5.693,2.29
357,2.663,28.57
358,0.387,20.64
359,0.371,24.98
360,0.931,
361,2.003,22.27
362,,57.95
363,2.83,2.97
364,4.187,31.0
365,0.816,4.11
366,2.193,48.28
367,2.327,50.54
368,3.085,18.96
369,2.04,30.14
370,0.313,22.54
371,0.907,9.09
372,1.728,50.94
373,2.318,40.62
374,2.767,86.26
375,0.762,10.5
376,1.138,
377,6.888,51.56
378,1.655,28.6
379,1.939,64.23
380,1.159,33.22
381,3.993,9.18
382,1.039,34.13
383,0.495,19.72
384,9.266,38.64
385,1.811,22.36
386,0.36,28.96
387,1.759,24.45
388,5.28,78.07
389,1.021,8.19
390,8.863,48.08
391,1.079,34.1
392,3.339,14.29
393,1.797,46.47
394,2.555,19.32
395,0.363,27.13
396,0.559,48.43
397,0.754,46.34
398,0.416,10.67
399,3.618,53.12
400,,29.41
401,3.339,47.61
402,1.233,59.15
403,1.972,23.42
404,5.216,8.27
405,4.161,32.95
406,3.758,29.82
407,2.531,7.52
408,5.671,18.44
409,1.524,
410,0.897,38.21
411,6.844,5.92
412,0.886,20.85
413,3.545,17.83
414,7.999,94.66
415,2.709,21.02
416,0.873,16.11
417,3.805,25.61
418,1.276,35.31
419,2.923,9.89
420,0.257,3.71
421,0.932,27.91
422,6.503,41.81
423,4.48,27.16
424,4.323,46.75
425,6.291,47.09
426,1.991,29.53
427,1.268,41.88
428,1.445,24.29
429,1.957,18.16
430,3.596,25.13
431,0.785,26.04
432,0.512,17.84
433,2.42,58.81
434,0.441,55.3
435,7.829,67.55
436,0.113,16.07
437,3.024,14.83
438,0.452,33.35
439,40.238,58.74
440,0.868,26.77
441,10.91,64.6
442,0.931,53.85
443,2.529,28.6
444,3.658,
445,2.828,7.92
446,2.889,40.97
447,3.46,22.97
448,1.613,47.59
449,0.559,15.57
450,1.152,21.31
451,0.31,8.41
452,2.801,26.2
453,3.354,56.79
454,0.35,49.27
455,3.039,42.73
456,0.951,6.03
457,1.531,35.97
458,0.802,37.47
459,2.252,20.21
460,2.798,70.78
461,0.666,44.39
462,1.075,39.04
463,1.62,37.14
464,1.525,23.01
465,1.869,21.3
466,4.841,49.23
467,3.255,21.37
468,1.877,22.63
469,4.129,10.8
470,5.202,35.48
471,0.371,16.29
472,2.232,8.7
473,0.708,34.6
474,4.1,12.86
475,0.887,22.63
476,1.356,8.6
477,1.941,10.99
478,4.631,13.12
479,1.117,10.17
480,1.528,25.95
481,1.486,6.39
482,8.366,36.8
483,2.33,2.63
484,1.63,15.4
485,3.015,33.29
486,2.333,24.9
487,0.966,32.09
488,1.97,51.92
489,3.228,72.65
490,2.746,17.51
491,0.749,20.11
492,11.849,35.88
493,1.075,12.16
494,4.144,72.13
495,1.838,16.28
496,2.282,55.54
497,1.738,8.36
498,3.278,38.85
499,1.509,23.68
500,1.275,12.05
501,0.98,18.05
502,1.617,26.52
503,1.593,93.55
504,2.032,33.72
505,1.157,19.87
506,1.023,39.21
507,2.619,7.9
508,4.091,28.91
509,1.343,12.75
510,7.083,39.67
511,2.479,18.98
512,3.877,
513,,32.74
514,3.503,8.82
515,2.128,54.76
516,4.205,12.02
517,,7.39
518,3.642,17.85
519,1.456,21.11
520,3.836,25.07
521,1.874,27.48
522,0.222,38.65
523,2.576,44.71
524,0.34,27.27
525,0.817,5.36
526,2.148,14.56
527,3.321,21.37
528,0.748,11.94
529,8.421,100.0
530,,10.51
531,6.736,47.42
532,0.927,28.63
533,7.278,36.92
534,1.084,26.66
535,2.049,20.33
536,0.844,30.7
537,0.998,
538,0.56,49.11
539,4.921,59.3
540,4.965,34.25
541,4.619,38.03
542,5.17,11.04
543,1.365,7.28
544,1.39,20.09
545,2.345,12.65
546,0.535,35.6
547,1.778,34.32
548,2.464,23.34
549,3.767,38.48
550,1.231,27.46
551,5.319,23.52
552,0.752,54.75
553,0.987,18.35
554,0.549,
555,3.833,26.28
556,1.552,
557,0.984,7.12
558,3.78,28.26
559,1.23,32.41
560,,57.44
561,2.772,33.3
562,,41.12
563,0.251,37.52
564,0.484,12.75
565,3.622,42.95
566,0.988,26.13
567,3.204,46.63
568,1.92,53.75
569,1.958,13.23
570,1.587,24.67
571,3.962,9.9
572,1.697,18.96
573,2.837,24.66
574,2.374,9.54
575,1.296,45.35
576,1.911,16.52
577,0.876,16.95
578,1.584,35.51
579,3.062,14.78
580,1.343,20.05
581,5.391,35.19
582,1.685,54.73
583,5.361,40.43
584,0.885,46.01
585,0.893,9.14
586,2.479,24.62
587,0.923,6.02
588,2.375,97.12
589,8.037,37.61
590,2.52,12.88
591,,37.94
592,0.505,33.19
593,2.041,51.27
594,1.291,21.85
595,0.712,40.78
596,3.531,60.93
597,2.694,46.37
598,2.384,25.66
599,0.138,23.87
600,0.647,49.21
601,6.112,31.25
602,1.72,41.91
603,2.658,42.15
604,0.331,18.55
605,2.12,27.28
606,3.357,13.44
607,6.546,49.24
608,1.829,13.62
609,1.646,2.98
610,0.544,8.62
611,5.69,83.82
612,0.836,32.83
613,2.383,100.0
614,0.762,11.42
615,1.78,16.59
616,3.455,15.27
617,3.625,24.36
618,2.017,8.54
619,2.104,38.95
620,1.111,13.46
621,1.648,
622,1.445,38.82
623,4.871,21.47
624,2.884,21.05
625,1.864,46.1
626,3.473,100.0
627,0.813,14.54
628,2.023,41.02
629,1.223,
630,1.946,
631,2.005,13.6
632,2.412,34.7
633,4.038,63.54
634,3.436,26.69
635,,42.54
636,3.475,9.4
637,3.522,30.69
638,2.499,17.99
639,1.216,26.54
640,2.609,
641,1.694,9.6
642,1.28,29.03
643,2.251,18.92
644,26.495,49.89
645,0.495,11.34
646,1.454,3.51
647,2.227,30.77
648,0.46,13.73
649,3.427,23.63
650,3.093,26.38
651,0.461,24.42
652,2.462,36.56
653,2.797,8.28
654,0.837,2.31
655,2.563,48.89
656,0.866,17.47
657,2.692,23.09
658,3.648,22.53
659,0.544,23.79
660,2.141,7.61
661,0.694,21.86
662,1.561,16.78
663,2.995,18.81
664,4.759,
665,1.09,28.26
666,2.043,6.1
667,0.709,11.4
668,1.177,24.93
669,4.981,48.33
670,2.689,37.13
671,2.542,
672,3.697,3.55
673,1.161,33.19
674,0.985,31.25
675,5.833,21.92
676,2.606,9.12
677,0.534,32.37
678,2.308,15.55
679,2.841,34.85
680,1.082,15.36
681,,11.19
682,1.287,5.08
683,2.988,26.43
684,2.476,25.24
685,5.335,2.98
686,1.219,22.56
687,0.959,6.81
688,2.802,44.97
689,2.874,46.7
690,0.728,25.15
691,1.093,40.44
692,2.797,38.75
693,3.398,15.4
694,5.531,37.92
695,3.968,12.72
696,1.205,15.32
697,0.379,21.2
698,1.668,17.37
699,1.048,14.11
700,68.109,88.4
701,1.945,20.25
702,1.42,40.36
703,1.096,28.1
704,4.257,40.45
705,2.457,36.85
706,2.929,20.39
707,1.598,39.27
708,2.022,21.99
709,2.193,25.22
710,2.04,54.78
711,0.384,15.38
712,1.809,10.55
713,0.634,22.2
714,0.251,20.52
715,1.516,14.51
716,1.746,18.18
717,2.209,5.69
718,1.477,19.6
719,0.393,7.12
720,0.954,38.88
721,1.815,20.55
722,0.912,36.51
723,5.596,12.63
724,0.656,
725,3.007,30.47
726,2.795,17.67
727,0.294,27.82
728,0.586,11.1
729,3.832,100.0
730,0.778,35.81
731,2.398,43.06
732,1.607,6.18
733,2.717,25.14
734,1.835,14.87
735,0.775,21.65
736,0.124,25.29
737,3.298,63.56
738,4.13,29.85
739,3.747,10.55
740,3.326,38.19
741,,30.25
742,2.473,47.7
743,6.496,68.12
744,2.173,41.97
745,1.355,20.76
746,3.013,52.39
747,1.424,24.33
748,0.401,20.3
749,3.331,30.47
750,2.137,1.9
751,0.474,23.58
752,0.594,29.69
753,4.024,22.96
754,5.259,36.19
755,2.891,29.96
756,1.151,18.71
757,3.113,
758,1.099,18.7
759,2.274,20.78
760,3.149,20.37
761,1.977,39.31
762,1.657,28.97
763,1.039,20.63
764,4.579,50.47
765,2.981,60.31
766,3.477,39.08
767,1.089,19.26
768,65.408,52.59
769,2.685,38.36
770,2.849,16.07
771,1.179,12.01
772,7.273,37.56
773,3.022,2.98
774,,10.67
775,3.346,16.0
776,1.572,12.89
777,2.856,
778,3.249,64.97
779,2.244,49.57
780,1.509,61.28
781,1.765,50.55
782,2.479,20.39
783,0.462,11.26
784,0.422,2.56
785,2.057,34.72
786,2.418,34.47
787,2.01,
788,1.313,37.26
789,1.541,20.1
790,0.763,22.49
791,1.659,8.49
792,2.062,17.09
793,2.312,47.72
794,1.571,14.65
795,1.937,
796,6.311,27.35
797,,30.67
798,0.496,18.52
799,2.711,7.8
800,1.506,26.89
801,1.396,7.77
802,1.516,24.11
803,0.955,32.88
804,1.752,38.71
805,5.75,45.65
806,1.449,22.43
807,9.342,89.44
808,1.093,24.86
809,3.092,45.4
810,1.034,12.87
811,0.595,
812,4.572,
813,7.91,53.23
814,1.848,19.65
815,5.383,26.5
816,4.47,4.74
817,2.271,11.5
818,1.339,29.71
819,3.827,55.86
820,4.232,53.62
821,2.235,59.73
822,47.447,31.92
823,6.17,15.48
824,2.006,32.65
825,3.688,14.81
826,0.579,17.86
827,5.511,44.41
828,,54.37
829,1.464,28.59
830,0.472,24.03
831,2.124,32.85
832,0.217,39.13
833,1.29,48.96
834,0.744,9.29
835,14.269,35.19
836,1.04,32.08
837,5.057,21.02
838,4.128,8.77
839,0.645,57.57
840,4.01,42.67
841,1.204,48.42
842,2.378,26.46
843,1.929,4.61
844,2.17,24.25
845,5.432,11.93
846,7.846,43.05
847,5.625,34.45
848,2.585,41.59
849,1.746,45.28
850,1.356,86.78
851,2.963,19.29
852,4.164,15.97
853,1.01,31.67
854,,9.37
855,4.176,20.76
856,5.738,5.57
857,4.527,80.42
858,1.693,34.69
859,0.835,25.21
860,1.385,25.17
861,2.707,39.26
862,1.445,19.45
863,2.478,34.29
864,1.398,1.64
865,3.054,7.74
866,55.934,72.48
867,3.198,32.9
868,5.786,31.67
869,0.365,11.1
870,2.018,20.66
871,2.911,21.41
872,1.978,38.45
873,4.153,31.82
874,1.161,12.6
875,8.371,17.33
876,0.465,14.49
877,1.034,2.51
878,0.846,52.97
879,2.798,20.68
880,1.037,31.54
881,0.213,30.8
882,6.125,77.06
883,1.791,36.03
884,0.374,17.78
885,2.289,23.91
886,0.827,46.14
887,2.849,19.22
888,2.554,17.24
889,5.754,52.01
890,0.89,17.35
891,5.453,17.13
892,2.553,
893,3.422,71.41
894,3.476,62.81
895,0.815,39.25
896,3.622,18.49
897,1.984,34.65
898,4.109,42.53
899,2.002,45.95
900,5.852,31.26
901,3.078,23.28
902,1.27,13.2
903,3.878,37.86
904,1.726,73.94
905,1.543,32.45
906,0.867,11.39
907,3.622,27.64
908,1.368,7.89
909,4.133,19.99
910,2.338,8.2
911,2.044,18.81
912,4.129,58.08
913,7.088,38.23
914,9.13,53.14
915,3.039,31.53
916,4.071,14.49
917,1.621,75.3
918,4.082,66.26
919,1.353,29.46
920,0.196,60.23
921,2.601,18.71
922,2.117,80.49
923,0.59,38.97
924,1.507,29.96
925,5.036,18.35
926,0.615,31.88
927,2.249,21.61
928,1.354,56.23
929,2.515,52.05
930,2.24,13.07
931,1.447,34.98
932,0.456,27.31
933,0.659,100.0
934,0.357,34.07
935,2.99,6.76
936,3.121,22.36
937,0.679,26.7
938,2.555,32.83
939,5.309,14.25
940,2.585,6.04
941,1.604,78.31
942,1.416,13.63
943,1.037,48.17
944,1.583,5.39
945,1.88,20.51
946,1.437,
947,2.536,-8.95
948,3.741,14.47
949,0.21,32.88
950,1.376,60.31
951,8.554,75.19
952,0.235,16.34
953,6.067,22.86
954,3.15,
955,1.484,4.98
956,1.442,49.07
957,3.543,10.26
958,1.077,4.01
959,3.787,
960,1.731,36.04
961,1.57,18.55
962,3.899,9.65
963,1.953,12.61
964,4.466,36.34
965,0.986,66.65
966,4.18,40.17
967,1.315,9.49
968,1.538,6.68
969,,20.95
970,1.934,71.29
971,2.908,23.24
972,1.417,1.21
973,3.885,24.31
974,,32.97
975,5.964,43.82
976,3.798,59.81
977,6.007,13.54
978,1.097,4.46
979,2.49,51.31
980,1.107,21.6
981,6.126,46.03
982,3.205,54.23
983,3.064,11.89
984,0.748,35.6
985,8.652,54.59
986,,57.91
987,1.619,17.69
988,2.06,30.6
989,1.718,29.15
990,1.801,42.59
991,1.763,35.18
992,2.0,27.18
993,2.537,52.37
994,1.221,28.47
995,1.805,29.83
996,2.986,20.8
997,1.873,44.9
998,0.641,26.68
999,1.158,38.16
1000,1.852,15.13
1001,2.472,52.98
1002,1.79,31.88
1003,0.934,25.08
1004,1.18,25.06
1005,0.37,19.68
1006,1.333,47.45
1007,0.467,29.44
1008,0.731,25.9
1009,2.957,29.18
1010,1.848,68.33
1011,9.413,78.96
1012,2.671,66.52
1013,,22.4
1014,8.352,20.94
1015,0.365,7.28
1016,1.916,18.07
1017,6.238,43.99
1018,4.179,5.25
1019,2.02,22.82
1020,3.651,9.33
1021,0.197,35.4
1022,2.552,13.37
1023,2.709,
1024,6.271,26.67
1025,2.599,44.18
1026,4.048,46.53
1027,0.281,39.87
1028,3.213,69.22
1029,0.995,34.15
1030,1.283,36.08
1031,28.26,31.01
1032,4.055,23.9
1033,2.692,31.66
1034,1.794,14.15
1035,2.857,32.8
1036,1.989,
1037,3.337,70.55
1038,2.728,22.57
1039,1.653,36.88
1040,1.983,22.57
1041,2.879,46.75
1042,1.964,13.06
1043,3.264,9.08
1044,1.263,29.87
1045,2.826,39.71
1046,,7.57
1047,1.955,19.04
1048,1.649,36.07
1049,0.984,39.5
1050,1.521,43.13
1051,2.565,12.49
1052,3.926,21.81
1053,1.66,17.38
1054,1.843,10.74
1055,2.36,15.02
1056,4.195,43.5
1057,8.259,77.91
1058,5.317,46.29
1059,0.231,27.73
1060,2.468,25.61
1061,2.152,11.08
1062,4.082,9.5
1063,1.244,15.71
1064,7.374,30.21
1065,0.817,40.57
1066,5.379,52.75
1067,2.778,10.56
1068,1.774,24.24
1069,0.878,15.62
1070,2.806,55.15
1071,5.964,47.91
1072,2.454,47.28
1073,63.873,21.3
1074,3.635,52.94
1075,3.104,14.45
1076,3.108,
1077,2.945,52.57
1078,4.489,73.1
1079,0.708,15.08
1080,1.985,34.63
1081,3.119,35.35
1082,2.887,
1083,3.013,14.38
1084,3.115,54.32
1085,2.97,48.52
1086,5.325,4.74
1087,1.278,21.67
1088,8.16,41.11
1089,0.15,45.13
1090,2.531,41.62
1091,1.197,9.86
1092,0.82,52.59
1093,0.191,48.79
1094,,6.27
1095,5.36,51.59
1096,0.183,13.6
1097,0.867,
1098,1.051,35.02
1099,0.613,21.94
1100,2.077,13.3
1101,3.166,23.51
1102,3.007,12.54
1103,3.574,6.91
1104,2.434,35.42
1105,1.042,37.66
1106,1.171,55.29
1107,1.148,45.16
1108,0.719,40.81
1109,1.317,33.5
1110,0.688,18.85
1111,1.009,30.98
1112,1.096,15.9
1113,2.99,24.01
1114,1.215,16.0
1115,2.069,37.17
1116,3.19,27.88
1117,0.315,39.1
1118,1.715,74.19
1119,3.854,20.32
1120,0.606,65.04
1121,3.65,2.98
1122,0.187,19.12
1123,2.785,33.34
1124,2.571,0.9
1125,1.703,
1126,,34.54
1127,0.811,13.65
1128,3.134,16.64
1129,3.609,20.82
1130,1.357,51.29
1131,2.469,17.56
1132,36.593,21.21
1133,4.997,40.1
1134,,32.36
1135,0.631,29.33
1136,0.653,14.93
1137,1.004,9.06
1138,4.946,35.87
1139,0.743,21.72
1140,1.249,30.1
1141,4.668,51.28
1142,3.89,63.33
1143,1.857,42.99
1144,0.472,11.14
1145,2.092,33.81
1146,,16.99
1147,38.375,30.55
1148,3.468,20.49
1149,,6.58
1150,0.817,57.59
1151,0.207,39.41
1152,1.51,6.07
1153,8.19,34.35
1154,2.402,31.07
1155,1.179,
1156,2.123,8.61
1157,2.828,37.22
1158,4.055,33.06
1159,2.752,
1160,0.985,4.92
1161,1.205,28.62
1162,0.581,20.68
1163,1.697,39.18
1164,1.832,42.42
1165,1.439,11.44
1166,0.724,36.71
1167,,52.87
1168,1.618,49.23
1169,2.332,41.34
1170,1.955,10.65
1171,1.256,17.49
1172,1.299,39.52
1173,4.368,16.26
1174,0.4,61.62
1175,1.05,20.24
1176,3.972,18.83
1177,2.969,15.64
1178,0.264,34.66
1179,1.856,67.32
1180,2.009,17.36
1181,0.716,
1182,1.223,49.17
1183,0.76,12.49
1184,1.663,12.26
1185,1.503,29.76
1186,1.613,5.27
1187,2.242,7.07
1188,3.351,31.52
1189,4.513,3.94
1190,1.535,29.42
1191,8.631,12.83
1192,4.613,68.68
1193,1.442,4.82
1194,1.573,31.85
1195,0.919,30.79
1196,7.75,11.53
1197,2.984,15.41
1198,,21.57
1199,0.377,54.53
1200,,10.57
1201,4.106,15.57
1202,1.984,
1203,1.839,45.41
1204,0.685,8.54
1205,0.682,5.91
1206,1.5,12.81
1207,2.357,23.44
1208,2.412,34.7
1209,0.573,5.2
1210,1.635,19.88
1211,2.229,42.29
1212,5.138,27.87
1213,3.127,39.67
1214,6.613,46.66
1215,1.087,53.47
1216,4.028,52.27
1217,,8.67
1218,2.698,56.67
1219,2.303,51.9
1220,2.196,15.61
1221,2.231,29.99
1222,1.581,4.82
1223,2.64,35.71
1224,2.585,74.69
1225,2.987,52.43
1226,3.763,34.85
1227,2.272,41.34
1228,1.906,44.49
1229,7.668,43.24
1230,6.507,39.2
1231,0.601,73.83
1232,2.326,8.79
1233,1.868,37.13
1234,1.309,35.28
1235,,26.04
1236,6.558,71.06
1237,1.285,9.41
1238,1.341,19.85
1239,1.256,
1240,3.16,75.74
1241,3.877,44.89
1242,0.448,10.05
1243,1.7,18.51
1244,1.416,83.8
1245,0.465,38.31
1246,1.198,10.54
1247,0.735,63.98
1248,1.417,47.23
1249,8.261,47.95
1250,2.838,19.07
1251,3.587,0.79
1252,2.192,10.47
1253,0.295,29.49
1254,0.803,53.31
1255,1.12,39.03
1256,4.517,60.02
1257,,45.0
1258,0.543,30.76
1259,1.883,22.5
1260,0.772,1.82
1261,11.699,57.06
1262,0.283,26.98
1263,4.658,37.1
1264,2.479,21.14
1265,2.584,12.53
1266,2.657,27.35
1267,4.317,
1268,3.656,12.95
1269,2.182,30.13
1270,0.576,22.78
1271,0.875,14.48
1272,0.511,14.96
1273,0.399,50.97
1274,2.062,9.86
1275,3.635,58.31
1276,1.753,7.28
1277,3.368,34.42
1278,4.497,46.21
1279,1.712,40.55
1280,1.688,38.86
1281,2.614,44.99
1282,0.739,13.08
1283,1.401,49.56
1284,2.498,12.41
1285,2.105,42.21
1286,2.423,10.92
1287,1.65,37.18
1288,4.498,20.86
1289,1.26,21.2
1290,0.47,9.4
1291,1.01,27.05
1292,1.925,27.64
1293,0.993,35.77
1294,2.224,53.15
1295,1.403,9.68
1296,0.89,49.46
1297,6.075,49.3
1298,1.005,11.17
1299,5.01,1.57
1300,2.882,5.35
1301,4.05,
1302,5.137,17.73
1303,2.316,10.39
1304,2.593,21.87
1305,2.379,21.8
1306,2.547,26.17
1307,1.856,7.47
1308,2.792,33.88
1309,0.679,26.29
1310,0.578,40.4
1311,4.089,20.36
1312,2.462,11.61
1313,1.887,19.64
1314,4.456,19.75
1315,2.139,39.67
1316,9.432,46.59
1317,2.038,28.38
1318,5.185,16.53
1319,0.763,67.93
1320,2.927,4.93
1321,5.961,62.19
1322,0.935,26.87
1323,1.61,46.14
1324,2.368,58.46
1325,9.325,55.45
1326,2.154,49.78
1327,5.332,64.95
1328,2.149,12.14
1329,0.475,17.73
1330,3.844,49.18
1331,11.062,54.88
1332,3.45,4.54
1333,6.323,54.49
1334,1.185,44.39
1335,1.67,11.23
1336,5.88,62.87
1337,0.443,43.08
1338,0.548,17.27
1339,2.205,40.15
1340,1.071,23.15
1341,2.686,47.88
1342,3.896,7.92
1343,2.219,9.93
1344,3.639,23.38
1345,5.103,61.18
1346,0.86,15.84
1347,1.258,20.38
1348,10.146,48.15
1349,3.96,32.41
1350,4.6,14.35
1351,1.524,2.05
1352,2.079,55.69
1353,0.527,39.08
1354,0.787,6.91
1355,0.686,9.92
1356,4.8,32.39
1357,2.569,19.74
1358,11.862,
1359,2.981,26.05
1360,0.781,28.33
1361,1.672,21.73
1362,0.907,5.97
1363,1.257,44.63
1364,5.048,62.74
1365,7.654,30.08
1366,0.284,9.71
1367,3.647,20.08
1368,5.465,57.03
1369,4.453,
1370,3.222,
1371,1.87,42.98
1372,5.87,26.49
1373,2.734,13.33
1374,8.878,48.82
1375,3.018,11.71
1376,1.143,33.85
1377,1.192,
1378,,29.63
1379,,13.4
1380,3.625,37.4
1381,1.975,20.28
1382,0.434,50.49
1383,1.672,15.83
1384,2.567,3.67
1385,1.34,21.81
1386,4.947,62.78
1387,2.424,21.07
